Epoch,Error
0,430.2598957654103
100,18.54787969433003
200,14.36658704328828
300,14.033124348365641
400,13.927068891023847
500,13.857207657333523
600,13.7987723034394
700,13.74666086579698
800,13.699212272753451
900,13.655582705271142
1000,13.615202395086719
1100,13.577633843172801
1200,13.54252355407607
1300,13.509579843475992
1400,13.478559559496016
1500,13.449258708636727
1600,13.421505275625089
1700,13.395153520302447
1800,13.370079373302673
1900,13.346176689021227
2000,13.323354182414892
2100,13.301532917224446
2200,13.280644241521093
2300,13.260628087517903
2400,13.24143156884951
2500,13.223007821341827
2600,13.205315043510344
2700,13.18831570122238
2800,13.171975867554599
2900,13.156264674208934
3000,13.141153855159297
3100,13.126617366692045
3200,13.112631070840033
3300,13.099172471505543
3400,13.086220494441976
3500,13.073755303786697
3600,13.06175814908146
3700,13.050211237735763
3800,13.039097628723692
3900,13.028401143993946
4000,13.018106294642754
4100,13.00819821937204
4200,12.99866263315059
4300,12.989485784327606
4400,12.980654418724905
4500,12.972155749471439
4600,12.963977431541261
4700,12.956107540125986
4800,12.948534552116335
4900,12.941247330089073
5000,12.934235108300015
5100,12.92748748027063
5200,12.920994387631882
5300,12.914746109949773
5400,12.908733255311192
5500,12.902946751492944
5600,12.897377837572753
5700,12.892018055872127
5800,12.886859244146626
5900,12.881893527959033
6000,12.877113313187483
6100,12.872511278635807
6200,12.868080368721534
6300,12.86381378622811
6400,12.85970498511331
6500,12.855747663370492
6600,12.851935755944943
6700,12.848263427708444
6800,12.844725066498146
6900,12.841315276227466
7000,12.838028870076759
7100,12.834860863771603
7200,12.83180646895829
7300,12.82886108668281
7400,12.82602030098293
7500,12.823279872598963
7600,12.820635732809716
7700,12.818083977400537
7800,12.81562086076631
7900,12.81324279015539
8000,12.810946320056548
8100,12.808728146732252
8200,12.80658510289955
8300,12.804514152560756
8400,12.802512385983269
8500,12.800577014830026
8600,12.798705367438973
8700,12.796894884251255
8800,12.795143113387029
8900,12.793447706366026
9000,12.791806413972756
9100,12.79021708226222
9200,12.788677648704645
9300,12.787186138466502
9400,12.785740660824358
9500,12.784339405708755
9600,12.782980640375772
9700,12.781662706201171
9800,12.780384015596068
9900,12.779143049038847
10000,12.777938352221332
10100,12.776768533304887
10200,12.77563226028368
10300,12.774528258451168
10400,12.773455307967346
10500,12.772412241522108
10600,12.77139794209269
10700,12.770411340791517
10800,12.769451414800836
10900,12.76851718539186
11000,12.76760771602437
11100,12.766722110524995
11200,12.765859511339956
11300,12.765019097860486
11400,12.764200084817304
11500,12.763401720742399
11600,12.762623286494241
11700,12.761864093845414
11800,12.761123484128463
11900,12.760400826939197
12000,12.75969551889409
12100,12.75900698243981
12200,12.758334664712981
12300,12.757678036447757
12400,12.757036590929388
12500,12.756409842991776
12600,12.755797328057364
12700,12.755198601217169
12800,12.75461323634973
12900,12.754040825277224
13000,12.753480976956725
13100,12.752933316705976
13200,12.75239748546102
13300,12.751873139066117
13400,12.751359947592581
13500,12.750857594686957
13600,12.750365776946406
13700,12.749884203320489
13800,12.749412594538299
13900,12.748950682560128
14000,12.748498210051954
14100,12.74805492988258
14200,12.74762060464235
14300,12.747195006182544
14400,12.746777915174272
14500,12.746369120686923
14600,12.745968419784795
14700,12.745575617141268
14800,12.745190524670395
14900,12.744812961174373
15000,12.744446418252965
